Committee_Code,Parent_Committee_Name,Subcommittee_Name,Mapped_Sectors,Mapped_Industries,Is_General_Jurisdiction,Exclude_From_Analysis
HSAG,House Committee on Agriculture,,Basic Materials; Consumer Defensive,Farm Products; Agricultural Inputs; Packaged Foods; Food Distribution; Grocery Stores; Specialty Chemicals; Beverages - Brewers; Beverages - Non-Alcoholic; Beverages - Wineries & Distilleries; Confectioners; Restaurants; Tobacco; Farm & Heavy Construction Machinery; Packaging & Containers; Chemicals,False,False
HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Basic Materials; Consumer Defensive; Energy; Utilities,Agricultural Inputs; Lumber & Wood Production; Farm Products; Solar; Utilities - Renewable,False,False
HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Basic Materials; Consumer Defensive; Technology,Agricultural Inputs; Biotechnology; Farm Products; Education & Training Services,False,False
HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Basic Materials; Consumer Defensive,Farm Products; Agricultural Inputs,False,False
HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Basic Materials; Consumer Defensive,Farm Products; Packaged Foods,False,False
HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Basic Materials; Consumer Defensive,Farm Products; Agricultural Inputs; Capital Markets,False,False
HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Basic Materials; Consumer Defensive,Farm Products; Grocery Stores; Packaged Foods; Household & Personal Products,False,False
HSAP,House Committee on Appropriations,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Basic Materials; Consumer Defensive; Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Communication Services; Consumer Cyclical; Technology,Broad/General Jurisdiction,False,False
HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Energy; Utilities,Broad/General Jurisdiction,False,False
HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Financial Services,Broad/General Jurisdiction,False,False
HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Healthcare,Broad/General Jurisdiction,False,False
HSAP-02,House Committee on Appropriations,Defense Subcommittee,Industrials,Broad/General Jurisdiction,False,False
HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Industrials; Utilities,Broad/General Jurisdiction,False,False
HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Industrials; Real Estate,Broad/General Jurisdiction,False,False
HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSAS,House Committee on Armed Services,,Industrials,Aerospace & Defense; Computer Hardware,False,False
HSAS-26,House Committee on Armed Services,Emerging Threats and Capabilities Subcommittee,Industrials,Aerospace & Defense; Software - Infrastructure; Electronic Components; Scientific & Technical Instruments; Information Technology Services,False,False
HSAS-06,House Committee on Armed Services,Oversight and Investigations Subcommittee,Industrials,Drug Manufacturers - General; Oil & Gas Integrated; Biotechnology; Telecom Services; Utilities - Regulated Electric,False,False
HSAS-02,House Committee on Armed Services,Military Personnel Subcommittee,Industrials,Aerospace & Defense; Healthcare Plans; Medical Care Facilities; Drug Manufacturers - General,False,False
HSAS-03,House Committee on Armed Services,Readiness Subcommittee,Industrials,Aerospace & Defense; Rental & Leasing Services; Integrated Freight & Logistics,False,False
HSAS-29,House Committee on Armed Services,Strategic Forces Subcommittee,Industrials,Aerospace & Defense; Uranium,False,False
HSAS-25,House Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Industrials,Aerospace & Defense,False,False
HSAS-28,House Committee on Armed Services,Seapower and Projection Forces Subcommittee,Industrials,Aerospace & Defense; Marine Shipping,False,False
HSED,House Committee on Education and the Workforce,,,Education & Training Services; Staffing & Employment Services; Healthcare Plans; Medical Care Facilities; REIT - Healthcare Facilities,False,False
HSED-13,House Committee on Education and the Workforce,Higher Education and Workforce Training Subcommittee,,Education & Training Services; Staffing & Employment Services; Healthcare Plans; Medical Care Facilities; REIT - Healthcare Facilities,False,False
HSED-02,House Committee on Education and the Workforce,"Health, Employment, Labor, and Pensions Subcommittee",Healthcare; Real Estate,Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Medical Care Facilities; Health Information Services; REIT - Healthcare Facilities,False,False
HSED-10,House Committee on Education and the Workforce,Workforce Protections Subcommittee,,Education & Training Services; Staffing & Employment Services; Healthcare Plans; Medical Care Facilities; REIT - Healthcare Facilities,False,False
HSED-14,House Committee on Education and the Workforce,"Early Childhood, Elementary, and Secondary Education Subcommittee",,Education & Training Services; Staffing & Employment Services; Healthcare Plans; Medical Care Facilities; REIT - Healthcare Facilities,False,False
